mode,data_source,data_size,k,num_kmers,num_unique,filter,insert_s,lookup_s,fpr,peak_rss_kb,internal_bytes,segments,load_factor,positive_hits
synthetic,synthetic,1000,10,991,988,reference,0.00014017,5.7168e-05,0.0006,4960,0,1,0,988
synthetic,synthetic,1000,20,981,981,reference,0.00017042,6.7501e-05,0.0005,5112,0,1,0,981
synthetic,synthetic,1000,50,951,951,reference,0.000165837,8.5085e-05,0.0006,5084,0,1,0,951
synthetic,synthetic,1000,100,901,901,reference,0.000218296,0.000134169,0.0003,5220,0,1,0,901
synthetic,synthetic,1000,200,801,801,reference,0.000253213,0.000171712,0.0002,5348,0,1,0,801
synthetic,synthetic,10000,10,9991,9940,reference,0.000588428,0.000332423,0.0011,6008,0,5,0,9940
synthetic,synthetic,10000,20,9981,9981,reference,0.000718181,0.000457801,0.0017,6632,0,5,0,9981
synthetic,synthetic,10000,50,9951,9951,reference,0.000998687,0.000669597,0.0017,7296,0,5,0,9951
synthetic,synthetic,10000,100,9901,9901,reference,0.00141128,0.0011039,0.0011,8172,0,5,0,9901
synthetic,synthetic,10000,200,9801,9801,reference,0.00216308,0.00193808,0.0008,10352,0,5,0,9801
synthetic,synthetic,100000,10,99991,95373,reference,0.00425975,0.00300185,0.0023,15992,0,43,0,95373
synthetic,synthetic,100000,20,99981,99981,reference,0.00610062,0.00451688,0.0014,22784,0,44,0,99981
synthetic,synthetic,100000,50,99951,99951,reference,0.00908652,0.00775836,0.0015,28952,0,44,0,99951
synthetic,synthetic,100000,100,99901,99901,reference,0.0132363,0.0117663,0.0016,38320,0,44,0,99901
synthetic,synthetic,100000,200,99801,99801,reference,0.020663,0.0189606,0.0019,60204,0,44,0,99801
synthetic,synthetic,1000000,10,999991,644117,reference,0.0270209,0.0200298,0.0009,92812,0,334,0,644117
synthetic,synthetic,1000000,20,999981,999979,reference,0.0615668,0.0449457,0.0017,182580,0,378,0,999979
synthetic,synthetic,1000000,50,999951,999951,reference,0.0922957,0.0810383,0.0024,245080,0,378,0,999951
synthetic,synthetic,1000000,100,999901,999901,reference,0.135427,0.115969,0.002,338784,0,378,0,999901
synthetic,synthetic,1000000,200,999801,999801,reference,0.213597,0.194575,0.0015,557604,0,378,0,999801
synthetic,synthetic,10000000,10,9999991,1048497,reference,0.0569783,0.0449318,0,486276,0,383,0,1048497
synthetic,synthetic,10000000,20,9999981,9999942,reference,1.49001,1.37833,0.0055,1768900,0,5316,0,9999942
synthetic,synthetic,10000000,50,9999951,9999951,reference,2.3828,1.74302,0.0047,2394004,0,5316,0,9999951
synthetic,synthetic,10000000,100,9999901,9999901,reference,3.19576,2.922,0.0049,3331488,0,5316,0,9999901
synthetic,synthetic,10000000,200,9999801,9999801,reference,7.62356,5.69408,0.0044,5518768,0,5316,0,9999801
