mode,data_source,data_size,k,num_kmers,num_unique,filter,insert_s,lookup_s,fpr,peak_rss_kb,internal_bytes,segments,load_factor,positive_hits
synthetic,synthetic,1000,10,991,988,bamboo,0.000222001,4.1e-05,0.0001,5380,36840,17,0.0567555,988
synthetic,synthetic,1000,20,981,981,bamboo,0.000231418,4.1126e-05,0.0002,5436,36840,17,0.0563534,981
synthetic,synthetic,1000,50,951,951,bamboo,9.6376e-05,3.9584e-05,0.0002,5444,34696,16,0.0580444,951
synthetic,synthetic,1000,100,901,901,bamboo,0.000107542,5.3333e-05,0,5304,34696,16,0.0549927,901
synthetic,synthetic,1000,200,801,801,bamboo,9.9126e-05,4.0625e-05,0.0002,5312,34696,16,0.0488892,801
synthetic,synthetic,10000,10,9991,9940,bamboo,0.000416002,0.000174001,0.0006,5844,90696,42,0.23112,9940
synthetic,synthetic,10000,20,9981,9981,bamboo,0.000419753,0.000174042,0.0003,5836,90696,42,0.232073,9981
synthetic,synthetic,10000,50,9951,9951,bamboo,0.000532628,0.000173751,0.0005,5836,90696,42,0.231376,9951
synthetic,synthetic,10000,100,9901,9901,bamboo,0.000421711,0.000173418,0.0007,5844,90696,42,0.230213,9901
synthetic,synthetic,10000,200,9801,9801,bamboo,0.00039671,0.000172209,0.0011,5844,90696,42,0.227888,9801
synthetic,synthetic,100000,10,99991,95373,bamboo,0.00268985,0.00166959,0.0005,9956,763208,354,0.263101,95373
synthetic,synthetic,100000,20,99981,99981,bamboo,0.00291723,0.00176843,0.0006,10076,771784,358,0.272731,99981
synthetic,synthetic,100000,50,99951,99951,bamboo,0.00300469,0.00186735,0.0008,10076,771784,358,0.272649,99951
synthetic,synthetic,100000,100,99901,99901,bamboo,0.00317673,0.00180026,0.0006,10076,771784,358,0.272513,99901
synthetic,synthetic,100000,200,99801,99801,bamboo,0.00312373,0.00210955,0.0011,10080,771784,358,0.27224,99801
synthetic,synthetic,1000000,10,999991,644117,bamboo,0.0262205,0.0138643,0.0005,40416,5843144,2710,0.232111,644117
synthetic,synthetic,1000000,20,999981,999979,bamboo,0.0452459,0.0297366,0.0008,52348,6627848,3076,0.317471,999979
synthetic,synthetic,1000000,50,999951,999951,bamboo,0.0410458,0.0316332,0.0006,52352,6627848,3076,0.317462,999951
synthetic,synthetic,1000000,100,999901,999901,bamboo,0.0425064,0.0297147,0.0008,52348,6627848,3076,0.317447,999901
synthetic,synthetic,1000000,200,999801,999801,bamboo,0.0405215,0.0279582,0.0009,52352,6627848,3076,0.317415,999801
synthetic,synthetic,10000000,10,9999991,1048497,bamboo,0.0372947,0.0239838,0,148472,20006088,9270,0.110456,1048497
synthetic,synthetic,10000000,20,9999981,9999942,bamboo,0.968825,0.628341,0.0029,448232,40212392,18632,0.524129,9999942
synthetic,synthetic,10000000,50,9999951,9999951,bamboo,0.841159,0.627743,0.0025,448132,40153784,18605,0.52489,9999951
synthetic,synthetic,10000000,100,9999901,9999901,bamboo,0.877296,0.625999,0.0026,448092,40123832,18591,0.525283,9999901
synthetic,synthetic,10000000,200,9999801,9999801,bamboo,0.845268,0.622153,0.0025,448208,40182248,18618,0.524516,9999801
